GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HIS电子病历模块,com.yhj.his.module.emr.enums,TemplateType,3,60,0,0,1,9,1,2,1,2
HIS电子病历模块,com.yhj.his.module.emr.enums,ProgressRecordType,3,81,0,0,1,12,1,2,1,2
HIS电子病历模块,com.yhj.his.module.emr.enums,ConsentType,56,0,0,0,9,0,3,0,3,0
HIS电子病历模块,com.yhj.his.module.emr.enums,EmrStatus,3,46,0,0,1,7,1,2,1,2
HIS电子病历模块,com.yhj.his.module.emr.enums,DefectType,60,0,0,0,9,0,4,0,4,0
HIS电子病历模块,com.yhj.his.module.emr.enums,QcLevel,3,55,0,4,1,11,1,6,1,4
HIS电子病历模块,com.yhj.his.module.emr.dto,InformedConsentSaveDTO,556,0,110,0,14,0,86,0,31,0
HIS电子病历模块,com.yhj.his.module.emr.dto,DischargeRecordSaveDTO,838,0,166,0,21,0,128,0,45,0
HIS电子病历模块,com.yhj.his.module.emr.dto,EmrSubmitDTO,101,14,22,0,1,2,16,4,5,4
HIS电子病历模块,com.yhj.his.module.emr.dto,SignatureDTO,315,0,62,0,8,0,50,0,19,0
HIS电子病历模块,com.yhj.his.module.emr.dto,EmrQueryDTO,405,0,78,0,12,0,62,0,23,0
HIS电子病历模块,com.yhj.his.module.emr.dto,OperationRecordSaveDTO,1278,0,254,0,32,0,194,0,67,0
HIS电子病历模块,com.yhj.his.module.emr.dto,AdmissionRecordSaveDTO,1130,227,270,0,1,33,141,65,6,65
HIS电子病历模块,com.yhj.his.module.emr.dto,RectificationDTO,98,17,22,0,0,3,15,5,4,5
HIS电子病历模块,com.yhj.his.module.emr.dto,ProgressRecordSaveDTO,470,87,110,0,1,13,61,25,6,25
HIS电子病历模块,com.yhj.his.module.emr.dto,EmrTemplateSaveDTO,436,80,102,0,1,12,57,23,6,23
HIS电子病历模块,com.yhj.his.module.emr.dto,OutpatientEmrSaveDTO,1006,191,238,0,1,29,127,55,8,55
HIS电子病历模块,com.yhj.his.module.emr.service.impl,AdmissionRecordServiceImpl,11,413,0,20,2,87,1,33,1,23
HIS电子病历模块,com.yhj.his.module.emr.service.impl,ProgressRecordServiceImpl,12,333,1,19,2,71,2,33,1,24
HIS电子病历模块,com.yhj.his.module.emr.service.impl,QcResultServiceImpl,25,323,2,22,4,71,3,34,1,24
HIS电子病历模块,com.yhj.his.module.emr.service.impl,EmrTemplateServiceImpl,0,259,0,12,0,54,0,24,0,18
HIS电子病历模块,com.yhj.his.module.emr.service.impl,QcServiceImpl,393,0,16,0,71,0,26,0,18,0
HIS电子病历模块,com.yhj.his.module.emr.service.impl,DischargeRecordServiceImpl,363,0,20,0,73,0,34,0,24,0
HIS电子病历模块,com.yhj.his.module.emr.service.impl,InformedConsentServiceImpl,419,0,28,0,86,0,43,0,29,0
HIS电子病历模块,com.yhj.his.module.emr.service.impl,OutpatientEmrServiceImpl,11,429,1,23,2,91,2,36,1,25
HIS电子病历模块,com.yhj.his.module.emr.service.impl,OperationRecordServiceImpl,425,0,20,0,87,0,37,0,27,0
HIS电子病历模块,com.yhj.his.module.emr.vo,ProgressRecordVO,681,0,134,0,17,0,104,0,37,0
HIS电子病历模块,com.yhj.his.module.emr.vo,DefectVO,275,0,54,0,7,0,44,0,17,0
HIS电子病历模块,com.yhj.his.module.emr.vo,OperationRecordVO,1200,0,238,0,30,0,182,0,63,0
HIS电子病历模块,com.yhj.his.module.emr.vo,EmrTemplateVO,597,0,118,0,15,0,92,0,33,0
HIS电子病历模块,com.yhj.his.module.emr.vo,OutpatientEmrVO,1563,0,310,0,39,0,236,0,81,0
HIS电子病历模块,com.yhj.his.module.emr.vo,QcResultVO,759,0,150,0,19,0,116,0,41,0
HIS电子病历模块,com.yhj.his.module.emr.vo,DischargeRecordVO,1001,0,198,0,25,0,152,0,53,0
HIS电子病历模块,com.yhj.his.module.emr.vo,QcSubmitResultVO,236,0,46,0,6,0,38,0,15,0
HIS电子病历模块,com.yhj.his.module.emr.vo,AdmissionRecordVO,1602,0,318,0,40,0,242,0,83,0
HIS电子病历模块,com.yhj.his.module.emr.vo,InformedConsentVO,920,0,182,0,23,0,140,0,49,0
HIS电子病历模块,com.yhj.his.module.emr.entity,EmrTemplate,445,90,104,0,4,13,59,22,7,22
HIS电子病历模块,com.yhj.his.module.emr.entity,QcResult,739,147,176,0,2,21,93,42,5,42
HIS电子病历模块,com.yhj.his.module.emr.entity,DischargeRecord,970,0,192,0,26,0,147,0,51,0
HIS电子病历模块,com.yhj.his.module.emr.entity,InformedConsent,969,0,192,0,26,0,147,0,51,0
HIS电子病历模块,com.yhj.his.module.emr.entity,ProgressRecord,605,125,144,0,1,19,76,35,4,35
HIS电子病历模块,com.yhj.his.module.emr.entity,AdmissionRecord,1406,247,328,0,10,33,180,69,16,69
HIS电子病历模块,com.yhj.his.module.emr.entity,OperationRecord,1289,0,256,0,34,0,195,0,67,0
HIS电子病历模块,com.yhj.his.module.emr.entity,OutpatientEmr,1409,203,320,0,21,21,188,55,28,55
HIS电子病历模块,com.yhj.his.module.emr,EmrModuleApplication,27,0,0,0,10,0,2,0,2,0
HIS电子病历模块,com.yhj.his.module.emr.controller,AdmissionRecordController,193,0,2,0,39,0,19,0,18,0
HIS电子病历模块,com.yhj.his.module.emr.controller,InformedConsentController,222,0,0,0,48,0,22,0,22,0
HIS电子病历模块,com.yhj.his.module.emr.controller,EmrTemplateController,136,0,0,0,30,0,14,0,14,0
HIS电子病历模块,com.yhj.his.module.emr.controller,ProgressRecordController,205,0,2,0,43,0,21,0,20,0
HIS电子病历模块,com.yhj.his.module.emr.controller,OutpatientEmrController,216,0,2,0,44,0,21,0,20,0
HIS电子病历模块,com.yhj.his.module.emr.controller,QcController,76,0,0,0,17,0,9,0,9,0
HIS电子病历模块,com.yhj.his.module.emr.controller,ArchiveController,68,0,6,0,16,0,9,0,4,0
HIS电子病历模块,com.yhj.his.module.emr.controller,OperationRecordController,210,0,2,0,45,0,20,0,19,0
HIS电子病历模块,com.yhj.his.module.emr.controller,DischargeRecordController,193,0,2,0,39,0,19,0,18,0
HIS电子病历模块,com.yhj.his.module.emr.controller,QcResultController,211,0,0,0,45,0,21,0,21,0
